ID,FIRSTNAME,LASTNAME,BIRTHDATE
1,Arsene,Wenger,10/22/1949
2,Paul,Lambert,08/07/1969
3,Jose,Mourinho,01/26/1963
4,Roberto,Mart+AO0-nez,07/13/1973
5,Brendan,Rodgers,01/26/1973
6,Manuel,Pellegrini,09/16/1953
7,Louis,van Gaal,08/08/1951
8,Alan,Pardew,07/18/1961
9,Harry,Redknapp,03/02/1947
10,Ronald,Koeman,03/21/1963
11,Mauricio,Pochettino,03/02/1972
12,Sam,Allardyce,10/19/1954
13,Nigel,Pearson,08/21/1963
14,Gus,Poyet,11/15/1967
15,Alan,Irvine,07/12/1958
16,Sean,Dyche,06/28/1971
17,Neil,Warnock,12/01/1948
18,Mark,Hughes,11/01/1963
19,Steve,Bruce,12/31/1960
20,Garry,Monk,03/06/1979
