ID,FIRSTNAME,LASTNAME,COMMONNAME,POSITION,BIRTHDATE,OVERALLRATING,POTENTIAL,CLUBID,NATIONALITY
1,C+AOk-sar,Azpilicueta Tanco,Azpilicueta,O,08/28/1989,79,82,3,Spain
2,Ander,Herrera Ag+APw-era,Ander Herrera,P,08/14/1989,79,84,7,Spain
3,Anderson Luis,de Abreu Oliveira,Anderson,P,04/13/1988,73,77,7,Brazil
4,Martin,Skrtel,,O,12/15/1984,81,81,5,Slovakia
5,Petr,Cech,,B,05/20/1982,85,85,3,Czech Republic
6,Mesut,+ANY-zil,,P,10/15/1988,86,87,1,Germany
7,Robin,van Persie,,N,08/06/1983,88,88,7,Holland
8,Patrick,van Aanholt,,O,08/29/1990,71,78,14,Holland
9,Siem,de Jong,,P,01/28/1989,77,79,8,Holland
10,Mauro,Z+AOE-rate,,N,03/18/1987,77,78,12,Argentina
11,Shaun,Wright+AC0-Phillips,,P,10/25/1981,70,70,9,England
12,Richard,Wright,,B,11/05/1977,62,62,6,England
13,Chris,Wood,,N,12/07/1991,69,74,13,New Zealand
14,Marc,Wilson,,O,08/17/1987,71,74,18,Republic of Ireland
15,Jack,Wilshere,,P,01/01/1992,81,85,1,England
16,Mike,Williamson,,O,11/08/1983,75,75,8,England
17,Ashley,Williams,,O,08/23/1984,79,79,20,Wales
18,Andy,Wilkinson,,O,08/06/1984,72,72,18,England
19,Connor,Wickham,,N,03/31/1993,72,83,14,England
20,Glenn,Whelan,,P,01/13/1984,74,74,18,Republic of Ireland
21,Ashley,Westwood,,P,04/01/1990,72,78,2,England
22,Danny,Welbeck,,N,11/26/1990,78,83,7,England
23,Andreas,Weimann,,N,08/05/1991,73,78,2,Austria
24,Marcin,Wasilewski,,O,06/09/1980,71,71,13,Poland
25,Joel,Ward,,O,10/29/1989,74,78,17,England
26,Stephen,Ward,,O,08/20/1985,70,70,16,Republic of Ireland
27,Victor,Wanyama,,P,06/25/1991,75,79,10,Kenya
28,Jonathan,Walters,,P,09/20/1983,70,70,18,Republic of Ireland
29,Ross,Wallace,,P,05/23/1985,69,69,16,Scotland
30,Kyle,Walker,,O,05/28/1990,77,81,11,England
31,Theo,Walcott,,P,03/16/1989,81,85,1,England
32,Haris,Vuckic,,P,08/21/1992,65,74,8,Slovenia
33,Michel,Vorm,,B,10/20/1983,79,79,11,Holland
34,Sam,Vokes,,N,10/21/1989,69,73,16,Wales
35,Ron,Vlaar,,O,02/16/1985,79,79,2,Holland
36,Jan,Vertonghen,,O,04/24/1987,82,84,11,Belgium
37,Ricardo,Vaz Te,,P,10/01/1986,69,70,12,Portugal
38,Antonio,Valencia,,P,08/04/1985,80,80,7,Ecuador
39,Matthew,Upson,,O,04/18/1979,72,72,13,England
40,Leonardo,Ulloa,,N,07/26/1986,72,72,13,Argentina
41,Kieran,Trippier,,O,09/19/1990,72,78,16,England
42,Gerhard,Tremmel,,B,11/16/1978,73,73,20,Germany
43,Armand,Traor+AOk-,,P,10/08/1989,71,75,9,Senegal
44,Kolo,Tour+AOk-,,O,03/19/1981,78,78,5,C+APQ-te d'Ivoire
45,Yaya,Tour+AOk-,,P,05/13/1983,86,86,6,C+APQ-te d'Ivoire
46,James,Tomkins,,O,03/29/1989,73,77,12,England
47,Cheick,Tiot+AOk-,,P,06/21/1986,78,78,8,C+APQ-te d'Ivoire
48,Dwight,Tiendalli,,O,10/21/1985,70,70,20,Holland
49,Jerome,Thomas,,P,03/23/1983,69,69,17,England
50,John,Terry,,O,12/07/1980,83,83,3,England
51,Gary,Taylor+AC0-Fletcher,,N,06/04/1981,67,67,13,England
52,Matt,Taylor,,P,11/27/1981,70,70,16,England
53,Neil,Taylor,,O,02/07/1989,72,78,20,Wales
54,Ryan,Taylor,,O,08/19/1984,73,73,8,England
55,Steven,Taylor,,O,01/23/1986,75,75,8,England
56,Alan,Tate,,O,09/02/1982,66,66,20,England
57,Adel,Taarabt,,P,05/24/1989,79,83,9,Morocco
58,Thomas,Sorensen,,B,06/12/1976,71,71,18,Denmark
59,Alexis,S+AOE-nchez,,N,12/19/1988,84,88,1,Chile
60,Carlos,S+AOE-nchez,,P,02/06/1986,76,76,2,Colombia
61,Wojciech,Szczesny,,B,04/18/1990,80,83,1,Poland
62,Daniel,Sturridge,,N,09/01/1989,83,86,5,England
63,Enda,Stevens,,O,07/09/1990,62,68,2,Republic of Ireland
64,Juli+AOE-n,Speroni,,B,05/18/1979,76,76,17,Argentina
65,Marvin,Sordell,,N,02/17/1991,66,73,16,England
66,Robert,Snodgrass,,P,09/07/1987,74,75,19,Scotland
67,Chris,Smalling,,O,11/22/1989,76,81,7,England
68,Moussa,Sissoko,,P,08/16/1989,75,80,8,France
69,Scott,Sinclair,,P,03/25/1989,72,76,6,England
70,Danny,Simpson,,O,01/04/1987,73,74,9,England
71,Bobby,Zamora,,N,01/16/1981,71,71,9,England
72,Pablo,Zabaleta,,O,01/16/1985,82,82,6,Argentina
73,Ashley,Young,,P,07/09/1985,78,78,7,England
74,Maya,Yoshida,,O,08/24/1988,71,74,10,Japan
75,Mapou,Yanga+AC0-M'Biwa,,O,05/15/1989,76,81,8,France
76,Claudio,Yacob,,P,07/18/1987,77,77,15,Argentina
77,Philippe,Senderos,,O,02/14/1985,72,72,2,Switzerland
78,Andr+AOk-,Sch+APw-rrle,,P,11/06/1990,81,84,3,Germany
79,Mark,Schwarzer,,B,10/06/1972,76,76,3,Australia
80,Morgan,Schneiderlin,,P,11/08/1989,80,84,10,France
81,Kasper,Schmeichel,,B,11/05/1986,74,77,13,Denmark
82,Davide,Santon,,O,01/02/1991,75,78,8,Italy
83,Georgios,Samaras,,N,02/21/1985,69,69,15,Greece
84,Diafra,Sakho,,N,12/24/1989,70,74,12,Senegal
85,Mamadou,Sakho,,O,02/13/1990,81,83,5,France
86,Bacary,Sagna,,O,02/14/1983,80,80,6,France
87,Yannick,Sagbo,,N,04/12/1988,71,74,19,C+APQ-te d'Ivoire
88,Loic,R+AOk-my,,N,01/02/1987,80,82,9,France
89,Wayne,Routledge,,P,01/07/1985,75,75,20,England
90,Tom+AOE-s,Rosick+AP0-,,P,10/04/1980,80,80,1,Czech Republic
91,Liam,Rosenior,,O,07/09/1984,67,67,19,England
92,Danny,Rose,,O,07/02/1990,74,78,11,England
93,Wayne,Rooney,,N,10/24/1985,86,86,7,England
