host,visitor,,,,
Arsenal,Aston Villa,,,,
Liverpool,Stoke City,,,,
Queens Park Rangers,Everton,,,,
Sunderland,Leicester City,,,,
Swansea City,Manchester United,,,,
West Bromwich Albion,Southampton,,,,
West Ham United,Burnley,,,,
Chelsea,Hull City,,,,
Crystal Palace,Tottenham Hotspur,,,,
Manchester City,Newcastle United,,,,
Chelsea,Aston Villa,,,,
Aston Villa,Liverpool,,,,
Everton,West Bromwich Albion,,,,
Leicester City,Arsenal,,,,
Hull City,Queens Park Rangers,,,,
Newcastle United,West Ham United,,,,
Southampton,Sunderland,,,,
Stoke City,Crystal Palace,,,,
Burnley,Manchester City,,,,
Tottenham Hotspur,Swansea City,,,,
Manchester United,Chelsea,,,,
Burnley,Everton,,,,
Crystal Palace,Sunderland,,,,
Manchester City,Hull City,,,,
Newcastle United,Leicester City,,,, 
Queens Park Rangers,Southampton,,,,
West Ham United,Stoke City,,,,
Arsenal,Tottenham Hotspur,,,,
Liverpool,Manchester United,,,,
West Bromwich Albion,Swansea City,,,,
Aston Villa,Newcastle United,,,,
Everton,Chelsea,,,,
Leicester City,West Bromwich Albion,,,,
Hull City,Burnley,,,,
Manchester United,Crystal Palace,,,,
Stoke City,Manchester City,,,,
Sunderland,Arsenal,,,,
Tottenham Hotspur,Queens Park Rangers,,,,
Southampton,West Ham United,,,,
Swansea City,Liverpool,,,,
Chelsea,Leicester City,,,,
Liverpool,Southampton,,,,
Newcastle United,Hull City,,,,
Queens Park Rangers,Aston Villa,,,,
West Bromwich Albion,Sunderland,,,,
West Ham United,Everton,,,,
Arsenal,Stoke City,,,,
Burnley,Tottenham Hotspur,,,,
Crystal Palace,Swansea City,,,,
Manchester City,Manchester United,,,,
Aston Villa,Manchester City,,,,
Leicester City,Burnley,,,,
Hull City,West Ham United,,,,
Manchester United,West Bromwich Albion,,,,
Southampton,Crystal Palace,,,,
Swansea City,Arsenal,,,,
Tottenham Hotspur,Chelsea,,,,
Stoke City,Queens Park Rangers,,,,
Sunderland,Liverpool,,,,
Everton,Newcastle United,,,,
Burnley,Newcastle United,,,,
Leicester City,Stoke City,,,,
Hull City,Aston Villa,,,,
Liverpool,Crystal Palace,,,,
Manchester City,Everton,,,,
Sunderland,Manchester United,,,,
Queens Park Rangers,Chelsea,,,,
Southampton,Swansea City,,,,
Tottenham Hotspur,West Ham United,,,,
West Bromwich Albion,Arsenal,,,,
Arsenal,Queens Park Rangers,,,,
Chelsea,Burnley,,,,
Everton,Hull City,,,,
Manchester United,Southampton,,,,
Newcastle United,Liverpool,,,,
Stoke City,West Bromwich Albion,,,,
Swansea City,Sunderland,,,,
West Ham United,Manchester City,,,,
Aston Villa,Tottenham Hotspur,,,,
Crystal Palace,Leicester City,,,,
Aston Villa,Everton,,,,
Crystal Palace,Arsenal,,,,
Liverpool,West Bromwich Albion,,,,
Manchester United,Stoke City,,,,
Queens Park Rangers,Burnley,,,,
Southampton,Leicester City,,,,
Chelsea,Manchester City,,,,
Sunderland,Newcastle United,,,,
Swansea City,West Ham United,,,,
Tottenham Hotspur,Hull City,,,,
Arsenal,Liverpool,,,,
Leicester City,Manchester United,,,,
Hull City,Sunderland,,,,
Manchester City,Queens Park Rangers,,,,
Newcastle United,Chelsea,,,,
Stoke City,Southampton,,,,
West Bromwich Albion,Crystal Palace,,,,
West Ham United,Aston Villa,,,,
Burnley,Swansea City,,,,
Everton,Tottenham Hotspur,,,,
Aston Villa,Burnley,,,,
Chelsea,West Bromwich Albion,,,,
Crystal Palace,Everton,,,,
Liverpool,Leicester City,,,,
Queens Park Rangers,West Ham United,,,,
Southampton,Hull City,,,,
Manchester United,Arsenal,,,,
Sunderland,Manchester City,,,,
Swansea City,Stoke City,,,,
Tottenham Hotspur,Newcastle United,,,,
Arsenal,Southampton,,,,
Everton,Liverpool,,,,
Leicester City,Swansea City,,,,
Hull City,Crystal Palace,,,,
Newcastle United,Queens Park Rangers,,,,
Stoke City,Sunderland,,,,
West Ham United,Chelsea,,,,
Burnley,Manchester United,,,,
Manchester City,Tottenham Hotspur,,,,
West Bromwich Albion,Aston Villa,,,,
Aston Villa,Sunderland,,,,
Burnley,Arsenal,,,,
Everton,Stoke City,,,,
Newcastle United,West Bromwich Albion,,,,
Queens Park Rangers,Crystal Palace,,,,
West Ham United,Leicester City,,,,
Chelsea,Southampton,,,,
Hull City,Liverpool,,,,
Manchester City,Swansea City,,,,
Tottenham Hotspur,Manchester United,,,,
